[25Oct2025 15:38:15.894] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[25Oct2025 15:38:15.899] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.16 by Ubuntu; OS Linux arch amd64 version 6.8.0-1030-azure
[25Oct2025 15:38:18.382] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[25Oct2025 15:38:18.708] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Server.onepiece02/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[25Oct2025 15:38:18.871] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[25Oct2025 15:38:18.878] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/Server.onepiece02/servidor_minecraft
[25Oct2025 15:38:18.881] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/Server.onepiece02/servidor_minecraft/mods
[25Oct2025 15:38:18.882] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[25Oct2025 15:38:18.884] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/Server.onepiece02/servidor_minecraft/config/mods_optimizer/config.toml
[25Oct2025 15:38:18.970] [main/INFO] [Mods Optimizer/]: [Mods Database Updater] ⏳ Local mods-database.json is still fresh (last update: 2025-10-25T05:22:32.747676145Z).
[25Oct2025 15:38:18.994] [main/INFO] [Mods Optimizer/]: Mods Optimizer Mods Database Config File loaded with 346 mods client: 306, server: 18, default: 22.
[25Oct2025 15:38:19.002] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/Server.onepiece02/servidor_minecraft and mods dir /workspaces/Server.onepiece02/servidor_minecraft/mods for target SERVER in 119 ms.
[25Oct2025 15:38:19.010] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[25Oct2025 15:38:19.021] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~156 mods in /workspaces/Server.onepiece02/servidor_minecraft/mods with file extension .jar ...
[25Oct2025 15:38:19.116] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for smoothchunk from BOTH to SERVER
[25Oct2025 15:38:19.151] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_spawn from BOTH to SERVER
[25Oct2025 15:38:19.204] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_core from BOTH to SERVER
[25Oct2025 15:38:19.276] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_player from BOTH to SERVER
[25Oct2025 15:38:19.323] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to BOTH
[25Oct2025 15:38:19.356] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/Server.onepiece02/servidor_minecraft/mods/stellarity-lite-1.20.1.jar, which is expected in some cases.
[25Oct2025 15:38:19.360] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks from BOTH to SERVER
[25Oct2025 15:38:19.457] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_items from BOTH to SERVER
[25Oct2025 15:38:19.470] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.yungsapi[0] section of the mods.toml file /workspaces/Server.onepiece02/servidor_minecraft/mods/YungsApi-1.20-Forge-4.0.6.jar!
[25Oct2025 15:38:19.480] [main/WARN] [Mods Optimizer/]: ⚠ Found no version tag inside the fabric.mod.json file /workspaces/Server.onepiece02/servidor_minecraft/mods/Neruina-2.1.2-forge+1.20.1.jar!
[25Oct2025 15:38:19.503] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_gamerules from BOTH to SERVER
[25Oct2025 15:38:19.588] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.travelerstitles[0] section of the mods.toml file /workspaces/Server.onepiece02/servidor_minecraft/mods/TravelersTitles-1.20-Forge-4.0.2.jar!
[25Oct2025 15:38:19.596] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 2 data pack mods in 141 mods.
[25Oct2025 15:38:19.599] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 9 server mods in 141 mods.
[25Oct2025 15:38:19.599] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 130 default mods in 141 mods.
[25Oct2025 15:38:19.600] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[25Oct2025 15:38:19.603] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[25Oct2025 15:38:19.642] [main/INFO] [Mods Optimizer/]: | vampiresneedumbrellas              | 1.0.1                  | FORGE    | UNKNOWN           | 2023-09-13 17:15:43 |
[25Oct2025 15:38:19.643] [main/INFO] [Mods Optimizer/]: | startinv                           | 1.0.0                  | MIXED    | BOTH              | 2023-11-28 13:54:25 |
[25Oct2025 15:38:19.644] [main/INFO] [Mods Optimizer/]: | baguettelib                        | 1.0.0                  | FORGE    | UNKNOWN           | 2025-10-25 05:08:54 |
[25Oct2025 15:38:19.647] [main/INFO] [Mods Optimizer/]: | cloth_config                       | 11.1.136               | FORGE    | BOTH              | 2025-10-25 05:12:20 |
[25Oct2025 15:38:19.647] [main/INFO] [Mods Optimizer/]: | twilightforest                     | 4.3.2508               | FORGE    | BOTH              | 2024-06-24 18:00:24 |
[25Oct2025 15:38:19.648] [main/INFO] [Mods Optimizer/]: | konkrete                           | 1.8.0                  | FORGE    | BOTH              | 2024-01-13 04:21:05 |
[25Oct2025 15:38:19.650] [main/INFO] [Mods Optimizer/]: | celestial_artifacts                | 1.5.3                  | FORGE    | BOTH              | 2025-02-26 20:53:25 |
[25Oct2025 15:38:19.652] [main/INFO] [Mods Optimizer/]: | corpse                             | 1.20.1-1.0.21          | FORGE    | BOTH              | 2025-06-07 09:02:07 |
[25Oct2025 15:38:19.656] [main/INFO] [Mods Optimizer/]: | farmersdelight                     | 1.20.1-1.2.8           | FORGE    | BOTH              | 2025-05-29 22:48:26 |
[25Oct2025 15:38:19.657] [main/INFO] [Mods Optimizer/]: | morevillagers                      | 5.0.0                  | FORGE    | BOTH              | 2025-10-25 05:14:15 |
[25Oct2025 15:38:19.658] [main/INFO] [Mods Optimizer/]: | irons_spells_js                    | 3.1.1                  | FORGE    | BOTH              | 2024-09-17 14:20:15 |
[25Oct2025 15:38:19.660] [main/INFO] [Mods Optimizer/]: | mobcollisionoff                    | 2.0.0                  | FORGE    | UNKNOWN           | 2025-10-16 19:17:23 |
[25Oct2025 15:38:19.661] [main/INFO] [Mods Optimizer/]: | biomesoplenty                      | 19.0.0-96              | FORGE    | BOTH              | 2025-03-29 17:56:37 |
[25Oct2025 15:38:19.665] [main/INFO] [Mods Optimizer/]: | celestial_core                     | 1.5.5                  | FORGE    | BOTH              | 2025-05-25 11:00:28 |
[25Oct2025 15:38:19.665] [main/INFO] [Mods Optimizer/]: | ironfurnaces                       | 4.1.6                  | FORGE    | BOTH              | 2024-03-05 12:21:46 |
[25Oct2025 15:38:19.666] [main/INFO] [Mods Optimizer/]: | sleep_tight                        | 1.4.2                  | FORGE    | BOTH              | 2025-10-25 05:15:11 |
[25Oct2025 15:38:19.667] [main/INFO] [Mods Optimizer/]: | resourcefulconfig                  | 2.1.3                  | FORGE    | BOTH              | 2025-10-25 05:15:08 |
[25Oct2025 15:38:19.670] [main/INFO] [Mods Optimizer/]: | servercore                         | 1.5.2+1.20.1           | FORGE    | BOTH              | 2025-10-25 05:21:59 |
[25Oct2025 15:38:19.670] [main/INFO] [Mods Optimizer/]: | lionfishapi                        | 2.4.0                  | FORGE    | BOTH              | 2024-11-17 22:13:16 |
[25Oct2025 15:38:19.672] [main/INFO] [Mods Optimizer/]: | spark                              | 1.10.53                | FORGE    | BOTH              | 2025-10-25 05:15:33 |
[25Oct2025 15:38:19.675] [main/INFO] [Mods Optimizer/]: | wthit                              | 8.16.3                 | FORGE    | BOTH              | 2025-06-04 11:24:26 |
[25Oct2025 15:38:19.685] [main/INFO] [Mods Optimizer/]: | cataclysm                          | 3.3.0                  | FORGE    | BOTH              | 2025-06-22 15:23:35 |
[25Oct2025 15:38:19.686] [main/INFO] [Mods Optimizer/]: | curios                             | 5.14.1+1.20.1          | FORGE    | BOTH              | 2025-04-13 06:09:21 |
[25Oct2025 15:38:19.687] [main/INFO] [Mods Optimizer/]: | despawn_tweaker                    | 1.20.1-1.0.0           | FORGE    | UNKNOWN           | 2024-02-10 23:50:24 |
[25Oct2025 15:38:19.690] [main/INFO] [Mods Optimizer/]: | cerbons_api                        | 1.1.0                  | FORGE    | BOTH              | 2025-10-25 05:11:43 |
[25Oct2025 15:38:19.690] [main/INFO] [Mods Optimizer/]: | attributeslib                      | 1.3.7                  | FORGE    | BOTH              | 2024-08-15 23:08:23 |
[25Oct2025 15:38:19.691] [main/INFO] [Mods Optimizer/]: | bettervillage                      | 3.3.1                  | FORGE    | BOTH              | 2025-05-25 06:05:44 |
[25Oct2025 15:38:19.692] [main/INFO] [Mods Optimizer/]: | lostcities                         | 7.4.0                  | FORGE    | BOTH              | 2025-06-21 06:53:49 |
[25Oct2025 15:38:19.693] [main/INFO] [Mods Optimizer/]: | elevatorid                         | 1.20.1-lex-1.9         | FORGE    | BOTH              | 2023-11-03 15:02:00 |
[25Oct2025 15:38:19.694] [main/INFO] [Mods Optimizer/]: | noisium                            | 2.3.0+mc1.20-1.20.1    | FORGE    | BOTH              | 2025-10-25 05:14:28 |
[25Oct2025 15:38:19.695] [main/INFO] [Mods Optimizer/]: | stackable_stew_and_soup            | 2.0.1                  | MIXED    | BOTH              | 2024-12-06 16:59:17 |
[25Oct2025 15:38:19.698] [main/INFO] [Mods Optimizer/]: | resourcefullib                     | 2.1.29                 | FORGE    | BOTH              | 2025-10-25 05:15:09 |
[25Oct2025 15:38:19.698] [main/INFO] [Mods Optimizer/]: | architectury                       | 9.2.14                 | FORGE    | BOTH              | 2025-10-25 05:08:52 |
[25Oct2025 15:38:19.700] [main/INFO] [Mods Optimizer/]: | cfm                                | 7.0.0-pre36            | FORGE    | BOTH              | 2023-06-22 15:38:34 |
[25Oct2025 15:38:19.701] [main/INFO] [Mods Optimizer/]: | boatbreakfix                       | 1.0.2                  | MIXED    | BOTH              | 2022-11-22 08:00:42 |
[25Oct2025 15:38:19.701] [main/INFO] [Mods Optimizer/]: | aiimprovements                     | 0.5.2                  | FORGE    | BOTH              | 2025-10-25 05:08:51 |
[25Oct2025 15:38:19.702] [main/INFO] [Mods Optimizer/]: | dimthread                          | 1.2.1                  | FORGE    | BOTH              | 2024-11-25 20:39:11 |
[25Oct2025 15:38:19.704] [main/INFO] [Mods Optimizer/]: | cupboard                           | 1.20.1-2.7             | FORGE    | BOTH              | 2024-06-24 22:44:28 |
[25Oct2025 15:38:19.708] [main/INFO] [Mods Optimizer/]: | itemphysic                         | 1.8.7                  | MIXED    | BOTH              | 2025-04-22 09:49:59 |
[25Oct2025 15:38:19.709] [main/INFO] [Mods Optimizer/]: | monolib                            | 1.4.1                  | FORGE    | BOTH              | 2024-10-23 14:30:23 |
[25Oct2025 15:38:19.712] [main/INFO] [Mods Optimizer/]: | fallingtree                        | 4.3.4                  | MIXED    | BOTH              | 2024-01-05 20:28:28 |
[25Oct2025 15:38:19.713] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_items  | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:04 |
[25Oct2025 15:38:19.713] [main/INFO] [Mods Optimizer/]: | krypton                            | 0.2.3                  | FORGE    | BOTH              | 2023-06-24 02:49:29 |
[25Oct2025 15:38:19.715] [main/INFO] [Mods Optimizer/]: | smallships                         | 2.0.0-b1.4             | FORGE    | BOTH              | 2025-10-25 05:15:24 |
[25Oct2025 15:38:19.715] [main/INFO] [Mods Optimizer/]: | fps_shower                         | 1.0.0                  | FORGE    | BOTH              | 2023-06-22 16:52:36 |
[25Oct2025 15:38:19.719] [main/INFO] [Mods Optimizer/]: | mobtimizations                     | 1.20.1-1.0.0           | FORGE    | BOTH              | 2024-02-25 17:32:35 |
[25Oct2025 15:38:19.719] [main/INFO] [Mods Optimizer/]: | fastleafdecay                      | 32.0.0                 | FORGE    | BOTH              | 2024-05-27 12:43:28 |
[25Oct2025 15:38:19.719] [main/INFO] [Mods Optimizer/]: | letmedespawn                       | 1.5.0                  | FORGE    | SERVER            | 2025-10-25 05:22:00 |
[25Oct2025 15:38:19.720] [main/INFO] [Mods Optimizer/]: | playerrevive                       | 2.0.31                 | FORGE    | BOTH              | 2025-01-03 13:43:25 |
[25Oct2025 15:38:19.720] [main/INFO] [Mods Optimizer/]: | timeondisplay                      | 2.0.0                  | MIXED    | BOTH              | 2024-03-02 16:57:26 |
[25Oct2025 15:38:19.721] [main/INFO] [Mods Optimizer/]: | crafting_on_a_stick                | 1.1.5                  | FORGE    | BOTH              | 2024-06-15 00:18:50 |
[25Oct2025 15:38:19.722] [main/INFO] [Mods Optimizer/]: | radium                             | 0.12.4+git.26c9d8e     | FORGE    | UNKNOWN           | 2025-10-25 05:15:08 |
[25Oct2025 15:38:19.722] [main/INFO] [Mods Optimizer/]: | mowziesmobs                        | 1.7.3                  | FORGE    | BOTH              | 2025-05-27 21:42:55 |
[25Oct2025 15:38:19.725] [main/INFO] [Mods Optimizer/]: | rhino                              | 2001.2.3-build.10      | FORGE    | UNKNOWN           | 2025-02-12 21:26:35 |
[25Oct2025 15:38:19.726] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_spawn  | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:05 |
[25Oct2025 15:38:19.726] [main/INFO] [Mods Optimizer/]: | trashslot                          | 15.1.2                 | FORGE    | BOTH              | 2025-03-18 14:59:11 |
[25Oct2025 15:38:19.726] [main/INFO] [Mods Optimizer/]: | octolib                            | 5.0.1                  | FORGE    | BOTH              | 2025-10-25 05:55:59 |
[25Oct2025 15:38:19.730] [main/INFO] [Mods Optimizer/]: | jei                                | 15.20.0-112            | FORGE    | BOTH              | 2025-10-25 05:13:24 |
[25Oct2025 15:38:19.731] [main/INFO] [Mods Optimizer/]: | attributefix                       | 21.0.4                 | FORGE    | BOTH              | 2023-11-29 11:27:15 |
[25Oct2025 15:38:19.735] [main/INFO] [Mods Optimizer/]: | libraryferret                      | 4.0.0                  | FORGE    | BOTH              | 2023-06-21 18:22:37 |
[25Oct2025 15:38:19.736] [main/INFO] [Mods Optimizer/]: | caelus                             | 3.2.0+1.20.1           | FORGE    | BOTH              | 2024-04-22 00:58:26 |
[25Oct2025 15:38:19.736] [main/INFO] [Mods Optimizer/]: | traderefresh                       | 2.4.5                  | FORGE    | BOTH              | 2024-06-21 11:48:09 |
[25Oct2025 15:38:19.738] [main/INFO] [Mods Optimizer/]: | create                             | 6.0.6                  | FORGE    | BOTH              | 2025-06-11 21:36:58 |
[25Oct2025 15:38:19.740] [main/INFO] [Mods Optimizer/]: | waystones                          | 14.1.13                | FORGE    | BOTH              | 2025-05-21 10:58:18 |
[25Oct2025 15:38:19.743] [main/INFO] [Mods Optimizer/]: | clumps                             | 12.0.0-4               | FORGE    | UNKNOWN           | 2024-04-21 05:03:41 |
[25Oct2025 15:38:19.745] [main/INFO] [Mods Optimizer/]: | fastasyncworldsave                 | 1.20.1-2.1             | FORGE    | BOTH              | 2024-12-17 18:01:45 |
[25Oct2025 15:38:19.749] [main/INFO] [Mods Optimizer/]: | alternate_current                  | 1.7.0                  | FORGE    | BOTH              | 2023-08-25 16:47:37 |
[25Oct2025 15:38:19.750] [main/INFO] [Mods Optimizer/]: | artifacts                          | 9.5.16                 | FORGE    | BOTH              | 2025-10-25 05:08:53 |
[25Oct2025 15:38:19.753] [main/INFO] [Mods Optimizer/]: | sereneseasons                      | 9.1.0-2                | FORGE    | BOTH              | 2025-04-08 06:27:00 |
[25Oct2025 15:38:19.754] [main/INFO] [Mods Optimizer/]: | badpackets                         | 0.4.3                  | FORGE    | BOTH              | 2025-10-25 05:08:54 |
[25Oct2025 15:38:19.754] [main/INFO] [Mods Optimizer/]: | glitchcore                         | 0.0.0                  | FORGE    | BOTH              | 2024-10-06 09:39:40 |
[25Oct2025 15:38:19.755] [main/INFO] [Mods Optimizer/]: | mods_optimizer                     | 4.1.0                  | FORGE    | BOTH              | 2025-05-11 14:04:19 |
[25Oct2025 15:38:19.762] [main/INFO] [Mods Optimizer/]: | neruina                            | 2.1.2                  | MIXED    | BOTH              | 2025-10-25 05:14:35 |
[25Oct2025 15:38:19.763] [main/INFO] [Mods Optimizer/]: | iceandfire                         | 2.1.13-1.20.1          | FORGE    | BOTH              | 2024-08-15 16:28:35 |
[25Oct2025 15:38:19.764] [main/INFO] [Mods Optimizer/]: | bosses_of_mass_destruction         | 1.1.2                  | FORGE    | BOTH              | 2024-01-29 15:05:50 |
